Problem name,Problem Link,Topic,Difficulty,Skill,Platform
Reformat The String,https://leetcode.com/problems/reformat-the-string,String,Easy,Basic,Leetcode
Minimum Number of Frogs Croaking,https://leetcode.com/problems/minimum-number-of-frogs-croaking,String,Medium,Intermediate,Leetcode
Build Array Where You Can Find The Maximum Exactly K Comparisons,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons,Dynamic Programming,Hard,Advanced,Leetcode
Maximum Score After Splitting a String,https://leetcode.com/problems/maximum-score-after-splitting-a-string,String,Easy,Basic,Leetcode
Constrained Subsequence Sum,https://leetcode.com/problems/constrained-subsequence-sum,Dynamic Programming,Hard,Advanced,Leetcode
Kids With the Greatest Number of Candies,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies,Array,Easy,Basic,Leetcode
Max Difference You Can Get From Changing an Integer,https://leetcode.com/problems/max-difference-you-can-get-from-changing-an-integer,String,Medium,Intermediate,Leetcode
Number of Ways to Wear Different Hats to Each Other,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other,"Dynamic Programming,Bit Manipulation",Hard,Advanced,Leetcode
Destination City,https://leetcode.com/problems/destination-city,String,Easy,Basic,Leetcode
Check If All 1's Are at Least Length K Places Away,https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away,Array,Easy,Basic,Leetcode
Minimum Time to Collect All Apples in a Tree,https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree,Tree,Medium,Intermediate,Leetcode
Number of Ways of Cutting a Pizza,https://leetcode.com/problems/number-of-ways-of-cutting-a-pizza,Dynamic Programming,Hard,Advanced,Leetcode
Consecutive Characters,https://leetcode.com/problems/consecutive-characters,String,Easy,Basic,Leetcode
Check If a Word Occurs As a Prefix of Any Word in a Sentence,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,String,Easy,Basic,Leetcode
Max Dot Product of Two Subsequences,https://leetcode.com/problems/max-dot-product-of-two-subsequences,Dynamic Programming,Hard,Advanced,Leetcode
Make Two Arrays Equal by Reversing Sub-arrays,https://leetcode.com/problems/make-two-arrays-equal-by-reversing-sub-arrays,Array,Easy,Basic,Leetcode
Check If a String Contains All Binary Codes of Size K,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k,"String,Bit Manipulation",Medium,Intermediate,Leetcode
Cherry Pickup II,https://leetcode.com/problems/cherry-pickup-ii,Dynamic Programming,Hard,Advanced,Leetcode
Maximum Product of Two Elements in an Array,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,Array,Easy,Basic,Leetcode
Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,Array,Medium,Intermediate,Leetcode
Shuffle the Array,https://leetcode.com/problems/shuffle-the-array,Array,Easy,Basic,Leetcode
Paint House III,https://leetcode.com/problems/paint-house-iii,Dynamic Programming,Hard,Advanced,Leetcode
Final Prices With a Special Discount in a Shop,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,Array,Easy,Basic,Leetcode
Subrectangle Queries,https://leetcode.com/problems/subrectangle-queries,Array,Medium,Intermediate,Leetcode
Find Two Non-overlapping Sub-arrays Each With Target Sum,https://leetcode.com/problems/find-two-non-overlapping-sub-arrays-each-with-target-sum,Dynamic Programming,Medium,Intermediate,Leetcode
Running Sum of 1d Array,https://leetcode.com/problems/running-sum-of-1d-array,Array,Easy,Basic,Leetcode
Kth Ancestor of a Tree Node,https://leetcode.com/problems/kth-ancestor-of-a-tree-node,Dynamic Programming,Hard,Advanced,Leetcode
XOR Operation in an Array,https://leetcode.com/problems/xor-operation-in-an-array,"Array,Bit Manipulation",Easy,Basic,Leetcode
Longest Subarray of 1's After Deleting One Element,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,Array,Medium,Intermediate,Leetcode
Path Crossing,https://leetcode.com/problems/path-crossing,String,Easy,Basic,Leetcode
Count Submatrices With All Ones,https://leetcode.com/problems/count-submatrices-with-all-ones,Dynamic Programming,Medium,Intermediate,Leetcode
Reformat Date,https://leetcode.com/problems/reformat-date,String,Easy,Basic,Leetcode
Stone Game IV,https://leetcode.com/problems/stone-game-iv,Dynamic Programming,Hard,Advanced,Leetcode
Bulb Switcher IV,https://leetcode.com/problems/bulb-switcher-iv,String,Medium,Intermediate,Leetcode
String Compression II,https://leetcode.com/problems/string-compression-ii,"String,Dynamic Programming",Hard,Advanced,Leetcode
Count Good Triplets,https://leetcode.com/problems/count-good-triplets,Array,Easy,Basic,Leetcode
Find the Winner of an Array Game,https://leetcode.com/problems/find-the-winner-of-an-array-game,Array,Medium,Intermediate,Leetcode
Get the Maximum Score,https://leetcode.com/problems/get-the-maximum-score,Dynamic Programming,Hard,Advanced,Leetcode
Minimum Insertions to Balance a Parentheses String,https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string,"String,Stack",Medium,Intermediate,Leetcode
Find Longest Awesome Substring,https://leetcode.com/problems/find-longest-awesome-substring,"String,Bit Manipulation",Hard,Advanced,Leetcode
Make The String Great,https://leetcode.com/problems/make-the-string-great,"String,Stack",Easy,Basic,Leetcode
Find Kth Bit in Nth Binary String,https://leetcode.com/problems/find-kth-bit-in-nth-binary-string,String,Medium,Intermediate,Leetcode
Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,https://leetcode.com/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target,Dynamic Programming,Medium,Intermediate,Leetcode
Minimum Cost to Cut a Stick,https://leetcode.com/problems/minimum-cost-to-cut-a-stick,Dynamic Programming,Hard,Advanced,Leetcode
Three Consecutive Odds,https://leetcode.com/problems/three-consecutive-odds,Array,Easy,Basic,Leetcode
Minimum Number of Days to Eat N Oranges,https://leetcode.com/problems/minimum-number-of-days-to-eat-n-oranges,Dynamic Programming,Hard,Advanced,Leetcode
Most Visited Sector in  a Circular Track,https://leetcode.com/problems/most-visited-sector-in-a-circular-track,Array,Easy,Basic,Leetcode
Detect Pattern of Length M Repeated K or More Times,https://leetcode.com/problems/detect-pattern-of-length-m-repeated-k-or-more-times,Array,Easy,Basic,Leetcode
Number of Ways to Reorder Array to Get Same BST,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst,Dynamic Programming,Hard,Advanced,Leetcode
Matrix Diagonal Sum,https://leetcode.com/problems/matrix-diagonal-sum,Array,Easy,Basic,Leetcode
Number of Ways to Split a String,https://leetcode.com/problems/number-of-ways-to-split-a-string,String,Medium,Intermediate,Leetcode
Count All Possible Routes,https://leetcode.com/problems/count-all-possible-routes,Dynamic Programming,Hard,Advanced,Leetcode
Replace All ?'s to Avoid Consecutive Repeating Characters,https://leetcode.com/problems/replace-all-s-to-avoid-consecutive-repeating-characters,String,Easy,Basic,Leetcode
Special Positions in a Binary Matrix,https://leetcode.com/problems/special-positions-in-a-binary-matrix,Array,Easy,Basic,Leetcode
Count Unhappy Friends,https://leetcode.com/problems/count-unhappy-friends,Array,Medium,Intermediate,Leetcode
Rearrange Spaces Between Words,https://leetcode.com/problems/rearrange-spaces-between-words,String,Easy,Basic,Leetcode
Crawler Log Folder,https://leetcode.com/problems/crawler-log-folder,Stack,Easy,Basic,Leetcode
Maximum Number of Achievable Transfer Requests,https://leetcode.com/problems/maximum-number-of-achievable-transfer-requests,Dynamic Programming,Hard,Advanced,Leetcode
Special Array With X Elements Greater Than or Equal X,https://leetcode.com/problems/special-array-with-x-elements-greater-than-or-equal-x,Array,Easy,Basic,Leetcode
Even Odd Tree,https://leetcode.com/problems/even-odd-tree,Tree,Medium,Intermediate,Leetcode
Minimum One Bit Operations to Make Integers Zero,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,"Dynamic Programming,Bit Manipulation",Hard,Advanced,Leetcode
Maximum Nesting Depth of the Parentheses,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses,String,Easy,Basic,Leetcode
Mean of Array After Removing Some Elements,https://leetcode.com/problems/mean-of-array-after-removing-some-elements,Array,Easy,Basic,Leetcode
Number of Sets of K Non-Overlapping Line Segments,https://leetcode.com/problems/number-of-sets-of-k-non-overlapping-line-segments,Dynamic Programming,Medium,Intermediate,Leetcode
Slowest Key,https://leetcode.com/problems/slowest-key,Array,Easy,Basic,Leetcode
Number of Ways to Form a Target String Given a Dictionary,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,Dynamic Programming,Hard,Advanced,Leetcode
Minimum Number of Removals to Make Mountain Array,https://leetcode.com/problems/minimum-number-of-removals-to-make-mountain-array,Dynamic Programming,Hard,Advanced,Leetcode
Richest Customer Wealth,https://leetcode.com/problems/richest-customer-wealth,Array,Easy,Basic,Leetcode
Number of Students Unable to Eat Lunch,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch,Array,Easy,Basic,Leetcode
Average Waiting Time,https://leetcode.com/problems/average-waiting-time,Array,Medium,Intermediate,Leetcode
Minimum Adjacent Swaps for K Consecutive Ones,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones,Stack,Hard,Advanced,Leetcode
Where Will the Ball Fall,https://leetcode.com/problems/where-will-the-ball-fall,Dynamic Programming,Medium,Intermediate,Leetcode
Swapping Nodes in a Linked List,https://leetcode.com/problems/swapping-nodes-in-a-linked-list,Linked List,Medium,Intermediate,Leetcode
Cat and Mouse II,https://leetcode.com/problems/cat-and-mouse-ii,Dynamic Programming,Hard,Advanced,Leetcode
Decode XORed Permutation,https://leetcode.com/problems/decode-xored-permutation,Bit Manipulation,Medium,Intermediate,Leetcode
Find Kth Largest XOR Coordinate Value,https://leetcode.com/problems/find-kth-largest-xor-coordinate-value,Array,Medium,Intermediate,Leetcode
Maximum Number of Balls in a Box,https://leetcode.com/problems/maximum-number-of-balls-in-a-box,Array,Easy,Basic,Leetcode
Check if Array Is Sorted and Rotated,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Array,Easy,Basic,Leetcode
Maximum Score from Performing Multiplication Operations,https://leetcode.com/problems/maximum-score-from-performing-multiplication-operations,Dynamic Programming,Medium,Intermediate,Leetcode
Maximize Palindrome Length From Subsequences,https://leetcode.com/problems/maximize-palindrome-length-from-subsequences,Dynamic Programming,Hard,Advanced,Leetcode
Count Items Matching a Rule,https://leetcode.com/problems/count-items-matching-a-rule,"Array,String",Easy,Basic,Leetcode
Find Nearest Point That Has the Same X or Y Coordinate,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate,Array,Easy,Basic,Leetcode
Make the XOR of All Segments Equal to Zero,https://leetcode.com/problems/make-the-xor-of-all-segments-equal-to-zero,Dynamic Programming,Hard,Advanced,Leetcode
Check if One String Swap Can Make Strings Equal,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,String,Easy,Basic,Leetcode
Second Largest Digit in a String,https://leetcode.com/problems/second-largest-digit-in-a-string,String,Easy,Basic,Leetcode
Determine Color of a Chessboard Square,https://leetcode.com/problems/determine-color-of-a-chessboard-square,String,Easy,Basic,Leetcode
Sentence Similarity III,https://leetcode.com/problems/sentence-similarity-iii,String,Medium,Intermediate,Leetcode
Maximum Number of Groups Getting Fresh Donuts,https://leetcode.com/problems/maximum-number-of-groups-getting-fresh-donuts,Dynamic Programming,Hard,Advanced,Leetcode
Truncate Sentence,https://leetcode.com/problems/truncate-sentence,String,Easy,Basic,Leetcode
Find the Winner of the Circular Game,https://leetcode.com/problems/find-the-winner-of-the-circular-game,Array,Medium,Intermediate,Leetcode
Separate The Numbers,https://www.hackerrank.com/challenges/separate-the-numbers/problem,Strings,Easy,Basic,HackerRank
CamelCase,https://www.hackerrank.com/challenges/camelcase/problem,Strings,Easy,Basic,HackerRank
Strong Password,https://www.hackerrank.com/challenges/strong-password/problem,Strings,Easy,Basic,HackerRank
Caesar Cipher,https://www.hackerrank.com/challenges/caesar-cipher-1/problem,Strings,Easy,Basic,HackerRank
Two Characters,https://www.hackerrank.com/challenges/two-characters/problem,Strings,Easy,Intermediate,HackerRank
Super Reduced String,https://www.hackerrank.com/challenges/reduced-string/problem,Strings,Easy,Intermediate,HackerRank
Weighted Uniform Strings,https://www.hackerrank.com/challenges/weighted-uniform-string/problem,Strings,Easy,Intermediate,HackerRank
Sherlock and the Valid String,https://www.hackerrank.com/challenges/sherlock-and-valid-string/problem,Strings,Medium,Basic,HackerRank
Highest Value Palindrome,https://www.hackerrank.com/challenges/richie-rich/problem,Strings,Medium,Intermediate,HackerRank
Maximum Palndromes,https://www.hackerrank.com/challenges/maximum-palindromes/problem,Strings,Medium,Intermediate,HackerRank
Sherlock and Anagrams,https://www.hackerrank.com/challenges/sherlock-and-anagrams/problem,Strings,Medium,Intermediate,HackerRank
Common Child,https://www.hackerrank.com/challenges/common-child/problem,Strings,Medium,Intermediate,HackerRank
Bear and Steady Gene,https://www.hackerrank.com/challenges/bear-and-steady-gene/problem,Strings,Medium,Advanced,HackerRank
Determining DNA Health,https://www.hackerrank.com/challenges/determining-dna-health/problem,Strings,Hard,Advanced,HackerRank
Morgan and a String,https://www.hackerrank.com/challenges/morgan-and-a-string/problem,Strings,Hard,Advanced,HackerRank
String Similarity,https://www.hackerrank.com/challenges/string-similarity/problem,Strings,Hard,Advanced,HackerRank
Mars Exploration,https://www.hackerrank.com/challenges/mars-exploration/problem,Strings,Easy,Basic,HackerRank
HackerRank in a String!,https://www.hackerrank.com/challenges/hackerrank-in-a-string/problem,Strings,Easy,Basic,HackerRank
Pangrams,https://www.hackerrank.com/challenges/pangrams/problem,Strings,Easy,Basic,HackerRank
Funny String,https://www.hackerrank.com/challenges/funny-string/problem,Strings,Easy,Basic,HackerRank
Gemstones,https://www.hackerrank.com/challenges/gem-stones/problem,Strings,Easy,Basic,HackerRank
Alternating Characters,https://www.hackerrank.com/challenges/alternating-characters/problem,Strings,Easy,Basic,HackerRank
Beautiful Binary String,https://www.hackerrank.com/challenges/beautiful-binary-string/problem,Strings,Easy,Basic,HackerRank
The Love-Letter Mystery,https://www.hackerrank.com/challenges/the-love-letter-mystery/problem,Strings,Easy,Basic,HackerRank
Anagram,https://www.hackerrank.com/challenges/anagram/problem,Strings,Easy,Basic,HackerRank
Making Anagrams,https://www.hackerrank.com/challenges/making-anagrams/problem,Strings,Easy,Basic,HackerRank
Games of Thrones - I,https://www.hackerrank.com/challenges/game-of-thrones/problem,Strings,Easy,Basic,HackerRank
Two Strings,https://www.hackerrank.com/challenges/two-strings/problem,Strings,Easy,Basic,HackerRank
String Construction,https://www.hackerrank.com/challenges/string-construction/problem,Strings,Easy,Basic,HackerRank
Palindrome Index,https://www.hackerrank.com/challenges/palindrome-index/problem,Strings,Easy,Basic,HackerRank
Big Sorting,https://www.hackerrank.com/challenges/big-sorting/problem,Sorting,Easy,Basic,HackerRank
Intro to Tutorial Challenges,https://www.hackerrank.com/challenges/tutorial-intro/problem,Sorting,Easy,Basic,HackerRank
Insertion Sort - Part 1,https://www.hackerrank.com/challenges/insertionsort1/problem,Sorting,Easy,Basic,HackerRank
Insertion Sort - Part 2,https://www.hackerrank.com/challenges/insertionsort2/problem,Sorting,Easy,Basic,HackerRank
Correctness and the Loop Invariant,https://www.hackerrank.com/challenges/correctness-invariant/problem,Sorting,Easy,Basic,HackerRank
Running Time of Algorithms,https://www.hackerrank.com/challenges/runningtime/problem,Sorting,Easy,Basic,HackerRank
Quicksort 1 - Partition,https://www.hackerrank.com/challenges/quicksort1/problem,Sorting,Easy,Basic,HackerRank
Counting Sort 1,https://www.hackerrank.com/challenges/countingsort1/problem,Sorting,Easy,Basic,HackerRank
Counting Sort 2,https://www.hackerrank.com/challenges/countingsort2/problem,Sorting,Easy,Basic,HackerRank
Closest Numbers,https://www.hackerrank.com/challenges/closest-numbers/problem,Sorting,Easy,Basic,HackerRank
Find the Median,https://www.hackerrank.com/challenges/find-the-median/problem,Sorting,Easy,Basic,HackerRank
The Full Counting Sort,https://www.hackerrank.com/challenges/countingsort4/problem,Sorting,Medium,Basic,HackerRank
Fraudulent Activity Notifications,https://www.hackerrank.com/challenges/fraudulent-activity-notifications/problem,Sorting,Medium,Intermediate,HackerRank
Lily's Homework,https://www.hackerrank.com/challenges/lilys-homework/problem,Sorting,Medium,Intermediate,HackerRank
Insertion Sort Advanced Analysis,https://www.hackerrank.com/challenges/insertion-sort/problem,Sorting,Hard,Advanced,HackerRank
Missing Numbers,https://www.hackerrank.com/challenges/missing-numbers/problem,Search,Easy,Basic,HackerRank
Sherlock and Array,https://www.hackerrank.com/challenges/sherlock-and-array/problem,Search,Easy,Basic,HackerRank
Ice Cream Parlor,https://www.hackerrank.com/challenges/icecream-parlor/problem,Search,Easy,Intermediate,HackerRank
Hackerland Radio Transmitters,https://www.hackerrank.com/challenges/hackerland-radio-transmitters/problem,Search,Medium,Intermediate,HackerRank
Gridland Metro,https://www.hackerrank.com/challenges/gridland-metro/problem,Search,Medium,Intermediate,HackerRank
Pairs,https://www.hackerrank.com/challenges/pairs/problem,Search,Medium,Intermediate,HackerRank
Minimum Loss,https://www.hackerrank.com/challenges/minimum-loss/problem,Search,Medium,Advanced,HackerRank
Connected Cells in a Grid,https://www.hackerrank.com/challenges/connected-cell-in-a-grid/problem,Search,Medium,Advanced,HackerRank
Short Palindrome,https://www.hackerrank.com/challenges/short-palindrome/problem,Search,Medium,Advanced,HackerRank
Gena Playing Hanoi,https://www.hackerrank.com/challenges/gena/problem,Search,Medium,Advanced,HackerRank
Maximum Subarray Sum,https://www.hackerrank.com/challenges/maximum-subarray-sum/problem,Search,Hard,Intermediate,HackerRank
Making Candies,https://www.hackerrank.com/challenges/making-candies/problem,Search,Hard,Intermediate,HackerRank
Roads and Libraries,https://www.hackerrank.com/challenges/torque-and-development/problem,Graph Theory,Medium,Advanced,HackerRank
Journey to the Moon,https://www.hackerrank.com/challenges/journey-to-the-moon/problem,Graph Theory,Medium,Advanced,HackerRank
Breadth First Search: Shortest Reach,https://www.hackerrank.com/challenges/bfsshortreach/problem,Graph Theory,Medium,Advanced,HackerRank
Kruskal (MST): Really Special Subtree,https://www.hackerrank.com/challenges/kruskalmstrsub/problem,Graph Theory,Medium,Advanced,HackerRank
Even Tree,https://www.hackerrank.com/challenges/even-tree/problem,Graph Theory,Medium,Advanced,HackerRank
Snakes and Ladders: The Quickest Way Up,https://www.hackerrank.com/challenges/the-quickest-way-up/problem,Graph Theory,Medium,Advanced,HackerRank
Prim's (MST) : Special Subtree,https://www.hackerrank.com/challenges/primsmstsub/problem,Graph Theory,Medium,Advanced,HackerRank
Jack goes to Rapture,https://www.hackerrank.com/challenges/jack-goes-to-rapture/problem,Graph Theory,Medium,Advanced,HackerRank
Subset Componenet,https://www.hackerrank.com/challenges/subset-component/problem,Graph Theory,Hard,Advanced,HackerRank
Dijkstra: Shortest Reach 2,https://www.hackerrank.com/challenges/dijkstrashortreach/problem,Graph Theory,Hard,Advanced,HackerRank
Bead Ornaments,https://www.hackerrank.com/challenges/beadornaments/problem,Graph Theory,Hard,Advanced,HackerRank
Floyd : City of Blinding Lights,https://www.hackerrank.com/challenges/floyd-city-of-blinding-lights/problem,Graph Theory,Hard,Advanced,HackerRank
Largest Permutation,https://www.hackerrank.com/challenges/largest-permutation/problem,Greedy,Easy,Basic,HackerRank
Minimum Absolute Difference in an Array,https://www.hackerrank.com/challenges/minimum-absolute-difference-in-an-array/problem,Greedy,Easy,Basic,HackerRank
Marc's Cakewalk,https://www.hackerrank.com/challenges/marcs-cakewalk/problem,Greedy,Easy,Basic,HackerRank
Grid Challenge,https://www.hackerrank.com/challenges/grid-challenge/problem,Greedy,Easy,Basic,HackerRank
Luck Balance,https://www.hackerrank.com/challenges/luck-balance/problem,Greedy,Easy,Basic,HackerRank
Maximum Perimeter Triangle,https://www.hackerrank.com/challenges/maximum-perimeter-triangle/problem,Greedy,Easy,Basic,HackerRank
Sherlock and The Beast,https://www.hackerrank.com/challenges/sherlock-and-the-beast/problem,Greedy,Easy,Basic,HackerRank
Priyanka And Toys,https://www.hackerrank.com/challenges/priyanka-and-toys/problem,Greedy,Easy,Basic,HackerRank
Marks and Toys,https://www.hackerrank.com/challenges/mark-and-toys/problem,Greedy,Easy,Basic,HackerRank
Jim and the Orders,https://www.hackerrank.com/challenges/jim-and-the-orders/problem,Greedy,Easy,Basic,HackerRank
Permuting Two Arrays,https://www.hackerrank.com/challenges/two-arrays/problem,Greedy,Easy,Basic,HackerRank
Beautiful Pairs,https://www.hackerrank.com/challenges/beautiful-pairs/problem,Greedy,Easy,Intermediate,HackerRank
Candies,https://www.hackerrank.com/challenges/candies/problem,Greedy,Medium,Basic,HackerRank
Greedy Florist,https://www.hackerrank.com/challenges/greedy-florist/problem,Greedy,Medium,Basic,HackerRank
Max Min,https://www.hackerrank.com/challenges/angry-children/problem,Greedy,Medium,Basic,HackerRank
Goodland Electricity,https://www.hackerrank.com/challenges/pylons/problem,Greedy,Medium,Basic,HackerRank
Cutting Boards,https://www.hackerrank.com/challenges/board-cutting/problem,Greedy,Hard,Intermediate,HackerRank
Chief Hopper,https://www.hackerrank.com/challenges/chief-hopper/problem,Greedy,Hard,Intermediate,HackerRank
Sherlock and MiniMax,https://www.hackerrank.com/challenges/sherlock-and-minimax/problem,Greedy,Hard,Intermediate,HackerRank
Reverse Shuffle Merge,https://www.hackerrank.com/challenges/reverse-shuffle-merge/problem,Greedy,Hard,Advanced,HackerRank
Fibonacci Modified,https://www.hackerrank.com/challenges/fibonacci-modified/problem,Dynamic Programming,Medium,Basic,HackerRank
The Coin Change Problem,https://www.hackerrank.com/challenges/coin-change/problem,Dynamic Programming,Medium,Intermediate,HackerRank
Equal,https://www.hackerrank.com/challenges/equal/problem,Dynamic Programming,Medium,Intermediate,HackerRank
Sherlock and Cost,https://www.hackerrank.com/challenges/sherlock-and-cost/problem,Dynamic Programming,Medium,Intermediate,HackerRank
Construct the Array,https://www.hackerrank.com/challenges/construct-the-array/problem,Dynamic Programming,Medium,Intermediate,HackerRank
Sam and substrings,https://www.hackerrank.com/challenges/sam-and-substrings/problem,Dynamic Programming,Medium,Intermediate,HackerRank
The Maximum Subarray,https://www.hackerrank.com/challenges/maxsubarray/problem,Dynamic Programming,Medium,Intermediate,HackerRank
Lego Blocks,https://www.hackerrank.com/challenges/lego-blocks/problem,Dynamic Programming,Medium,Intermediate,HackerRank
Stock Maximize,https://www.hackerrank.com/challenges/stockmax/problem,Dynamic Programming,Medium,Intermediate,HackerRank
Red John is Back,https://www.hackerrank.com/challenges/red-john-is-back/problem,Dynamic Programming,Medium,Intermediate,HackerRank
Knapsack,https://www.hackerrank.com/challenges/unbounded-knapsack/problem,Dynamic Programming,Medium,Intermediate,HackerRank
Abbreviation,https://www.hackerrank.com/challenges/abbr/problem,Dynamic Programming,Medium,Advanced,HackerRank
The Longest Common Subsequence,https://www.hackerrank.com/challenges/dynamic-programming-classics-the-longest-common-subsequence/problem,Dynamic Programming,Medium,Advanced,HackerRank
The Longest Increasing Subsequence,https://www.hackerrank.com/challenges/longest-increasing-subsequent/problem,Dynamic Programming,Hard,Advanced,HackerRank
Sum vs XOR,https://www.hackerrank.com/challenges/sum-vs-xor/problem,Bit Manipulation,Easy,Basic,HackerRank
Lonely Integer,https://www.hackerrank.com/challenges/lonely-integer/problem,Bit Manipulation,Easy,Basic,HackerRank
Maximizing XOR,https://www.hackerrank.com/challenges/maximizing-xor/problem,Bit Manipulation,Easy,Basic,HackerRank
Flipping bits,https://www.hackerrank.com/challenges/flipping-bits/problem,Bit Manipulation,Easy,Basic,HackerRank
Sansa and XOR,https://www.hackerrank.com/challenges/sansa-and-xor/problem,Bit Manipulation,Medium,Basic,HackerRank
Counter game,https://www.hackerrank.com/challenges/counter-game/problem,Bit Manipulation,Medium,Basic,HackerRank
AND Product,https://www.hackerrank.com/challenges/and-product/problem,Bit Manipulation,Medium,Basic,HackerRank
Xor-sequence,https://www.hackerrank.com/challenges/xor-se/problem,Bit Manipulation,Medium,Intermediate,HackerRank
Smart Number,https://www.hackerrank.com/challenges/smart-number/problem,Debugging,Easy,Basic,HackerRank
XOR Strings,https://www.hackerrank.com/challenges/strings-xor/problem,Debugging,Easy,Basic,HackerRank
Prime Dates,https://www.hackerrank.com/challenges/prime-date/problem,Debugging,Medium,Basic,HackerRank
Zig Zag Sequence,https://www.hackerrank.com/challenges/zig-zag-sequence/problem,Debugging,Medium,Basic,HackerRank
Minimum Operations,https://www.hackerrank.com/challenges/minimum-operations/problem,Debugging,Medium,Intermediate,HackerRank
Dynamic Array,https://www.hackerrank.com/challenges/dynamic-array/problem,Arrays,Easy,Basic,HackerRank
Arrays - DS,https://www.hackerrank.com/challenges/arrays-ds/problem,Arrays,Easy,Basic,HackerRank
2D Arrays - DS,https://www.hackerrank.com/challenges/2d-array/problem,Arrays,Easy,Basic,HackerRank
Left Rotation,https://www.hackerrank.com/challenges/array-left-rotation/problem,Arrays,Easy,Basic,HackerRank
Sparse Arrays,https://www.hackerrank.com/challenges/sparse-arrays/problem,Arrays,Medium,Basic,HackerRank
Array Manipulation,https://www.hackerrank.com/challenges/crush/problem,Arrays,Hard,Intermediate,HackerRank
Compare two linked lists,https://www.hackerrank.com/challenges/compare-two-linked-lists/problem,Linked Lists,Easy,Basic,HackerRank
Print the Elemnets of a Linked List,https://www.hackerrank.com/challenges/print-the-elements-of-a-linked-list/problem,Linked Lists,Easy,Basic,HackerRank
Insert a node at the head of a linked list,https://www.hackerrank.com/challenges/insert-a-node-at-the-head-of-a-linked-list/problem,Linked Lists,Easy,Basic,HackerRank
Delete a Node,https://www.hackerrank.com/challenges/delete-a-node-from-a-linked-list/problem,Linked Lists,Easy,Basic,HackerRank
Print in Reverse,https://www.hackerrank.com/challenges/print-the-elements-of-a-linked-list-in-reverse/problem,Linked Lists,Easy,Basic,HackerRank
Get Node Value,https://www.hackerrank.com/challenges/get-the-value-of-the-node-at-a-specific-position-from-the-tail/problem,Linked Lists,Easy,Basic,HackerRank
Find Merge Point of Two Lists,https://www.hackerrank.com/challenges/find-the-merge-point-of-two-joined-linked-lists/problem,Linked Lists,Easy,Basic,HackerRank
Reverse a linked list,https://www.hackerrank.com/challenges/reverse-a-linked-list/problem,Linked Lists,Easy,Intermediate,HackerRank
Insert a Node at the Tail of a Linked List,https://www.hackerrank.com/challenges/insert-a-node-at-the-tail-of-a-linked-list/problem,Linked Lists,Easy,Intermediate,HackerRank
Insert a node at a specific position in a linked list,https://www.hackerrank.com/challenges/insert-a-node-at-a-specific-position-in-a-linked-list/problem,Linked Lists,Easy,Intermediate,HackerRank
Merge two sorted linked lists,https://www.hackerrank.com/challenges/merge-two-sorted-linked-lists/problem,Linked Lists,Easy,Intermediate,HackerRank
Delete duplicate-value nodes from a sorted linked list,https://www.hackerrank.com/challenges/delete-duplicate-value-nodes-from-a-sorted-linked-list/problem,Linked Lists,Easy,Intermediate,HackerRank
Inserting a Node Into a Sorted Doubly Linked List,https://www.hackerrank.com/challenges/insert-a-node-into-a-sorted-doubly-linked-list/problem,Linked Lists,Easy,Intermediate,HackerRank
Reverse a doubly linked list,https://www.hackerrank.com/challenges/reverse-a-doubly-linked-list/problem,Linked Lists,Easy,Intermediate,HackerRank
Cycle Detection,https://www.hackerrank.com/challenges/detect-whether-a-linked-list-contains-a-cycle/problem,Linked Lists,Medium,Intermediate,HackerRank
Tree: Preorder Traversal,https://www.hackerrank.com/challenges/tree-preorder-traversal/problem,Trees,Easy,Intermediate,HackerRank
Tree: Postorder Traversal,https://www.hackerrank.com/challenges/tree-postorder-traversal/problem,Trees,Easy,Intermediate,HackerRank
Tree: Inorder Traversal,https://www.hackerrank.com/challenges/tree-inorder-traversal/problem,Trees,Easy,Advanced,HackerRank
